City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
261,Lalibela,ET,2021-11-04,12.0333,39.0333,58.93,39,40,9.4,scattered clouds
262,Mahebourg,MU,2021-11-04,-20.4081,57.7,73.69,83,20,3.44,few clouds
263,Port Hedland,AU,2021-11-04,-20.3167,118.5667,75.25,69,0,9.22,clear sky
264,Nuuk,GL,2021-11-04,64.1835,-51.7216,27.88,100,100,8.99,overcast clouds
265,Rochefort,FR,2021-11-04,45.9167,-1.0,51.85,79,49,7.0,scattered clouds
266,San Patricio,US,2021-11-04,28.017,-97.5169,57.29,78,98,14.07,overcast clouds
267,Khatassy,RU,2021-11-04,61.9036,129.6383,8.58,98,100,4.29,overcast clouds
268,Olafsvik,IS,2021-11-04,64.8945,-23.7142,43.11,79,100,16.15,moderate rain
269,Flin Flon,CA,2021-11-04,54.7682,-101.865,37.24,75,20,4.61,few clouds
270,Khatanga,RU,2021-11-04,71.9667,102.5,22.69,95,100,21.72,snow
271,Maldonado,UY,2021-11-04,-34.6667,-54.9167,72.79,73,87,5.79,overcast clouds
272,Lundazi,ZM,2021-11-04,-12.2929,33.1782,77.25,36,4,7.49,clear sky
273,Raudeberg,NO,2021-11-04,61.9875,5.1352,45.19,94,66,4.0,light rain
274,Oussouye,SN,2021-11-04,12.485,-16.5469,93.38,85,59,10.51,moderate rain
275,Puerto Del Rosario,ES,2021-11-04,28.5004,-13.8627,71.35,73,40,16.11,scattered clouds
276,Guerrero Negro,MX,2021-11-04,27.9769,-114.0611,72.66,63,0,8.28,clear sky
277,Isangel,VU,2021-11-04,-19.55,169.2667,73.81,87,98,13.2,overcast clouds
278,Hobyo,SO,2021-11-04,5.3505,48.5268,80.78,71,27,12.82,scattered clouds
279,Grindavik,IS,2021-11-04,63.8424,-22.4338,43.27,81,75,16.11,broken clouds
280,Nelidovo,RU,2021-11-04,56.2211,32.7774,42.98,87,97,7.25,overcast clouds
281,Tabuk,PH,2021-11-04,17.4189,121.4443,70.47,90,73,2.64,broken clouds
282,Vila,PT,2021-11-04,42.0304,-8.1588,46.92,88,50,4.32,light rain
283,Valdivia,CL,2021-11-04,-39.8142,-73.2459,57.29,43,60,6.53,broken clouds
284,Marsh Harbour,BS,2021-11-04,26.5412,-77.0636,78.4,59,95,5.19,overcast clouds
285,Queimadas,BR,2021-11-04,-10.9783,-39.6264,88.47,46,95,11.68,moderate rain
286,Labuhan,ID,2021-11-04,-6.8844,112.2051,78.13,83,100,6.89,overcast clouds
287,Necochea,AR,2021-11-04,-38.5473,-58.7368,63.03,97,100,7.67,overcast clouds
288,Hofn,IS,2021-11-04,64.2539,-15.2082,35.62,75,75,4.61,broken clouds
289,Roebourne,AU,2021-11-04,-20.7833,117.1333,77.76,53,16,10.89,few clouds
290,Nouakchott,MR,2021-11-04,18.0858,-15.9785,87.73,47,70,14.34,broken clouds
291,Fortuna,US,2021-11-04,40.5982,-124.1573,56.93,74,75,1.01,broken clouds
292,Lebu,CL,2021-11-04,-37.6167,-73.65,55.29,52,2,18.5,clear sky
